,title,studio,domestic_gross,foreign_gross,year,genre_ids,id,popularity,release_date,vote_average,vote_count
195,Room in Rome,,,,,"[18, 10749]",48650,8.682,2010-11-11,6.1,236
196,Burlesque,SGem,39400000.0,50100000,2010.0,"[18, 10749]",42297,8.676,2010-11-23,7.1,1195
197,Elektra Luxx,,,,,"[35, 18]",56272,8.595,2010-03-14,4.9,74
198,Cold Fish,,,,,"[18, 53, 80]",68341,8.582,2010-07-05,6.6,113
199,We Are the Night,,,,,"[14, 18, 27, 10749]",52587,8.57,2010-11-11,6.2,129
200,Elena Undone,,,,,"[18, 10749]",56743,8.531,2010-06-25,7.2,81
201,The Final,,,,,"[53, 27]",34583,8.517,2010-01-28,5.6,131
202,Hatchet II,,,,,"[27, 35, 53]",43919,8.513,2010-10-01,5.5,160
203,Louis C.K.: Hilarious,,,,,[35],45523,8.504,2010-01-26,8.0,127
204,Ca$h,,,,,"[80, 53, 35, 9648]",27004,8.503,2010-01-01,5.8,112
205,Marmaduke,Fox,33600000.0,50100000,2010.0,"[10751, 35]",38579,8.487,2010-06-04,5.1,367
206,Get Him to the Greek,Uni.,61000000.0,30300000,2010.0,[35],32823,8.485,2010-06-04,5.9,980
207,Womb,,,,,"[10749, 878]",59457,8.483,2010-07-15,6.1,159
208,London Boulevard,IFC,16100.0,4600000,2011.0,"[18, 80]",48838,8.469,2010-11-12,5.9,409
209,Twelve,Hann.,184000.0,2400000,2010.0,"[53, 18, 28, 80]",40720,8.46,2010-07-30,5.9,147
210,Redline,,,,,"[14, 18, 28, 53, 16]",71883,8.436,2010-09-23,7.4,110
211,The Kids Are All Right,Focus,20800000.0,13900000,2010.0,"[35, 18]",39781,8.426,2010-07-09,6.6,854
212,BloodRayne: The Third Reich,,,,,"[28, 12, 14, 27]",12685,8.419,2010-11-05,3.7,83
213,Peacock,,,,,"[9648, 53]",11761,8.414,2010-04-20,6.1,104
214,Don't Be Afraid of the Dark,FD,24000000.0,12900000,2011.0,"[14, 27, 53]",46261,8.405,2010-11-06,5.5,550
215,The Illusionist,,,,,"[16, 18]",41201,8.404,2010-12-25,7.4,280
216,Stone,Over.,1800000.0,7700000,2010.0,"[18, 53]",44113,8.401,2010-10-22,5.2,334
217,Welcome to the Rileys,Gold.,159000.0,158000,2010.0,[18],31007,8.348,2010-10-29,6.5,241
218,Rubber,Magn.,100000.0,,2011.0,"[35, 18, 14, 27, 9648]",45649,8.319,2010-09-01,5.9,417
219,Bunraku,,,,,"[53, 28, 18]",30618,8.282,2010-09-01,5.9,161
220,Going the Distance,WB (NL),17800000.0,24200000,2010.0,"[35, 18, 10749]",38073,8.281,2010-09-03,6.0,394
221,Julia's Eyes,,,,,"[27, 53]",52274,8.268,2010-10-29,6.7,415
222,The Warrior's Way,Rela.,5700000.0,5400000,2010.0,"[12, 14, 28, 37, 53]",46528,8.259,2010-12-03,6.1,203
223,Last Night,Trib.,99000.0,7600000,2011.0,"[18, 10749]",23830,8.244,2010-09-18,6.1,444
224,Get Low,SPC,9200000.0,518000,2010.0,"[35, 18, 9648]",44718,8.215,2010-01-22,6.7,135
225,Loose Cannons,,,,,"[35, 18, 10749]",40794,8.202,2010-04-28,7.4,310
226,The Runaways,App.,3600000.0,1100000,2010.0,"[18, 10402]",27586,8.19,2010-03-19,6.4,448
227,Bloomington,,,,,"[18, 10749]",51736,8.176,2010-06-23,6.6,65
