,title,studio,domestic_gross,foreign_gross,year,genre_ids,id,popularity,release_date,vote_average,vote_count
10003,The Water Tower,,,,,"[18, 27, 878, 53]",444971,0.6,2013-08-27,10.0,2
10004,Butterfly Dust,,,,,"[878, 18, 27]",440898,0.6,2014-08-25,10.0,1
10005,fallen souls,,,,,[],424117,0.6,2013-11-30,10.0,1
10006,Solaristics,,,,,[],417269,0.6,2013-01-01,10.0,1
10007,The First Annual 'On Cinema' Oscar Special,,,,,[35],414632,0.6,2013-02-24,10.0,1
10008,Of Gods and Kings: The Skyros Horse,,,,,[],410535,0.6,2013-08-08,10.0,1
10009,Mike Keneally - Sluggo,,,,,[],402849,0.6,2013-01-01,10.0,1
10010,Ancient Extraterrestrials: Aliens and UFOs Before the Dawn of Time,,,,,[99],398091,0.6,2013-04-19,10.0,1
10011,I Forgot My Phone,,,,,[],397475,0.6,2013-08-22,10.0,1
10012,The Bass That Ate Miami: The Foundation,,,,,[],396872,0.6,2013-08-08,10.0,1
10013,Dreams of The Wayward,,,,,[18],394360,0.6,2013-09-21,10.0,1
10014,Bob Dylan: Another Self Portrait (1969-1971),,,,,[99],390780,0.6,2013-08-26,10.0,1
10015,Paramore - Live In Detroit 2013,,,,,[10402],389463,0.6,2013-05-10,10.0,1
10016,White Crack Bastard,,,,,[],377370,0.6,2013-01-01,10.0,1
10017,Sweating In The Night,,,,,"[18, 35]",375444,0.6,2013-01-01,10.0,1
10018,Exordium,,,,,"[16, 27, 14]",364489,0.6,2013-12-14,10.0,1
10019,Who Art in Heaven,,,,,[18],353961,0.6,2013-04-21,10.0,1
10020,SammyClassicSonicFan's Adventure,,,,,[],339839,0.6,2013-07-26,10.0,1
10021,IRL,,,,,[18],335425,0.6,2013-06-19,10.0,1
10022,Before I Sleep,,,,,[18],303886,0.6,2013-10-19,10.0,1
10023,Video World,,,,,[99],285207,0.6,2013-12-06,10.0,1
10024,Out of the Blue,,,,,[28],281697,0.6,2013-10-01,10.0,1
10025,What Would You Do for Love,,,,,[35],281532,0.6,2013-01-01,10.0,1
10026,Culture Shock,,,,,[],279050,0.6,2013-05-14,10.0,1
10027,Spirit of the Marathon II,,,,,[],277077,0.6,2013-01-01,10.0,1
10028,The Mythical Detective Loki,,,,,[],275480,0.6,2013-01-01,10.0,1
10029,Available,,,,,"[35, 18, 10749]",268169,0.6,2013-10-19,10.0,1
10030,Country Kids,,,,,[],257887,0.6,2013-07-24,10.0,1
10031,Disney Cruise Line: Behind the Magic,,,,,[],254722,0.6,2013-04-29,10.0,2
10032,Blind - Damn...,,,,,"[99, 28]",253649,0.6,2013-01-01,10.0,1
10033,Clean Before Loading,,,,,[],248198,0.6,2013-03-16,10.0,2
10034,Vino Veritas,,,,,[35],247466,0.6,2013-07-28,10.0,1
10035,Take Back Your Power,,,,,[99],240748,0.6,2013-09-05,10.0,1
10036,WSOF 6,,,,,[],233086,0.6,2013-10-26,10.0,1
10037,Cristian Castro: En Primera Fila Dia 1,,,,,[10402],225260,0.6,2013-04-03,10.0,1
10038,Lad: A Yorkshire Story,,,,,[],224204,0.6,2013-04-25,10.0,2
10039,The Paw Project,,,,,"[99, 36]",224100,0.6,2013-09-27,10.0,1
10040,Emerica MADE Chapter 1,,,,,[],223721,0.6,2013-08-23,10.0,1
10041,Listening to the Space in My Room,,,,,[99],220293,0.6,2013-09-10,10.0,1
10042,Redemption,,,,,[36],218974,0.6,2013-10-11,10.0,2
10043,"I Don't Feel at Home in This World Anymore: Film, Stories & Images from the Mississippi Records and Alan Lomax Archive",,,,,[99],208654,0.6,2013-07-20,10.0,1
10044,Attenborough: 60 Years in the Wild,,,,,"[99, 10751]",206671,0.6,2013-02-13,10.0,1
10045,The Prodigal Returns - The Interview,,,,,[],203597,0.6,2013-05-30,10.0,2
10046,Nightmares Through The Needle,,,,,[27],198762,0.6,2013-05-31,10.0,1
10047,Workforce,,,,,[35],196174,0.6,2013-06-03,10.0,1
10048,R,,,,,[18],191579,0.6,2013-05-06,10.0,1
10049,James Last: Live at The Royal Albert Hall,,,,,[10402],188330,0.6,2013-05-14,10.0,2
10050,Tell 'em Steve-Dave: Puppet Theater,,,,,[35],187527,0.6,2013-04-19,10.0,1
10051,Symphony of the Soil,,,,,"[99, 12]",186845,0.6,2013-10-11,10.0,1
10052,Joe Bonamassa : An Acoustic Evening at the Vienna Opera House,,,,,[10402],179175,0.6,2013-03-25,10.0,1
10053,National Geographic Top Secret Plant 42,,,,,[99],174025,0.6,2013-02-05,10.0,1
10054,Bidder 70,,,,,[],163197,0.6,2013-05-17,10.0,1
10055,Our School,,,,,[],158236,0.6,2013-01-18,10.0,1
10056,Elaine Stritch: At Liberty,,,,,"[35, 99, 10402, 10770]",140595,0.6,2004-05-29,10.0,3
10057,People of a Feather,,,,,[99],137381,0.6,2013-11-08,10.0,1
10058,Congo: The Grand Inga Project,,,,,[99],127696,0.6,2013-04-25,10.0,1
10059,Red Cloud: Deliverance,,,,,[],345936,0.6,2013-04-09,9.5,1
10060,Ladies' Man: A Made Movie,,,,,[35],254207,0.6,2013-04-09,9.5,1
10061,Ladybeard,,,,,[],248200,0.6,2013-03-22,9.5,1
10062,Hopes Identity,,,,,[18],224217,0.6,2013-08-14,9.5,1
10063,Frank Zappa: A Token Of His Extreme,,,,,[10402],204362,0.6,2013-06-03,9.5,1
10064,Coin Toss,,,,,"[18, 35]",203181,0.6,2013-01-12,9.5,1
10065,Tumultuary Regions Abroad,,,,,[],196755,0.6,2013-05-25,9.5,1
10066,The Dear Hunter Presents: The Color Spectrum Live,,,,,[10402],176181,0.6,2013-04-12,9.5,2
10067,Nirvana: Live and Loud,,,,,[10402],123511,0.6,2013-09-14,9.4,7
10068,e-motion,,,,,[99],318832,0.6,2013-01-01,9.3,2
10069,24 Hours of Happy,,,,,[99],582422,0.6,2013-11-21,9.0,1
10070,Rockefeller Medicine,,,,,[99],557073,0.6,2013-11-02,9.0,1
10071,StarCraft II: Heart of the Swarm,,,,,[878],549008,0.6,2013-03-12,9.0,1
10072,From The Woods,,,,,"[53, 27, 9648]",498939,0.6,2013-05-06,9.0,1
10073,Stephanie,,,,,"[9648, 53]",468401,0.6,2013-03-13,9.0,1
10074,This Actually Happens a Lot,,,,,[16],452887,0.6,2013-05-09,9.0,2
10075,The Promise,,,,,[],408852,0.6,2013-10-16,9.0,1
10076,Silent Treatment,,,,,"[18, 10749]",381560,0.6,2013-10-29,9.0,1
10077,JFK: The Final Hours,,,,,[99],345364,0.6,2013-11-08,9.0,3
10078,Etgar Keret What Animal R U?,,,,,[],339207,0.6,2013-10-05,9.0,1
10079,Fermilab: Science at Work,,,,,[99],315528,0.6,2013-02-11,9.0,1
10080,The Wanted; the Wanted Dream,,,,,[],299985,0.6,2013-11-08,9.0,1
10081,Tender Feet,,,,,[],298138,0.6,2013-01-01,9.0,1
10082,John Mayer: Rock In Rio 2013,,,,,[10402],253548,0.6,2013-09-20,9.0,1
10083,The Ballad of Skinless Pete,,,,,[27],240222,0.6,2014-03-08,9.0,1
10084,JFK: The Smoking Gun,,,,,[99],232610,0.6,2013-11-15,9.0,4
10085,Alicia Keys: Rock In Rio,,,,,[10402],224901,0.6,2013-09-15,9.0,3
10086,Local Legends,,,,,[35],223578,0.6,2013-07-30,9.0,2
10087,The Legacy of Dear Zachary: A Journey to Change the Law,,,,,[99],203898,0.6,2013-04-04,9.0,2
10088,Bon Jovi: Because We Can Tour - Live From Cleveland,,,,,[],177324,0.6,2013-03-09,9.0,1
10089,Live Action Toy Story,,,,,[],175939,0.6,2013-01-08,9.0,1
10090,"Burzynski: Cancer Is Serious Business, Part II",,,,,[99],208150,0.6,2013-03-01,8.8,2
10091,Crush,,,,,[],419475,0.6,2013-10-25,8.7,3
10092,Queen + Adam Lambert: iHeart Radio Music Festival,,,,,[],253609,0.6,2013-09-20,8.7,3
10093,The Cherokee Word for Water,,,,,[18],220453,0.6,2013-05-01,8.7,3
10094,Woody,,,,,"[14, 16, 18]",211789,0.6,2013-04-05,8.7,3
10095,Bet Raise Fold: The Story of Online Poker,,,,,"[99, 80, 18]",204050,0.6,2013-06-30,8.7,3
10096,Weasel,,,,,[18],421280,0.6,2013-06-09,8.5,2
10097,Rock and Roll Hall of Fame 2013 Induction Ceremony,,,,,[10402],337117,0.6,2013-05-18,8.5,1
10098,The Organic Life,,,,,[99],271342,0.6,2013-01-01,8.5,1
10099,Slenderman,,,,,[27],269075,0.6,2013-10-31,8.5,1
10100,Lamb of God: The Making of As the Palaces Burn Album,,,,,[],253478,0.6,2013-01-01,8.5,3
10101,Puscifer - What is...,,,,,"[10402, 35]",242287,0.6,2013-11-26,8.5,2
10102,Judas Priest: Epitaph,,,,,[10402],199676,0.6,2013-05-28,8.5,3
10103,The Little Tin Man,,,,,[35],198994,0.6,2013-06-01,8.5,1
10104,Bon Voyage,,,,,[99],193181,0.6,2013-04-12,8.5,1
10105,Mayweather vs. Guerrero,,,,,[],191552,0.6,2013-05-04,8.5,1
10106,Best Kept Secret,,,,,[99],178917,0.6,2013-05-04,8.5,2
10107,These Birds Walk,,,,,"[99, 18]",175427,0.6,2013-11-01,8.5,4
10108,Plimpton! Starring George Plimpton as Himself,,,,,[],141817,0.6,2013-05-22,8.5,2
10109,Ronny & I,,,,,[18],398486,0.6,2013-03-26,8.3,3
10110,Bonnie & Clyde,,,,,[18],594124,0.6,2013-12-08,8.3,4
10111,Fool's Day,,,,,"[35, 18]",352387,0.6,2013-04-18,8.3,4
10112,Levitated Mass,,,,,"[36, 99]",230836,0.6,2013-06-20,8.3,2
10113,The Book of Manning,,,,,[99],226320,0.6,2013-09-24,8.3,4
10114,Stolen Seas,,,,,[],158238,0.6,2013-01-18,8.2,6
10115,Ni Jing: Thou Shalt Not Steal,,,,,"[18, 9648, 10749]",283542,0.6,2013-11-09,8.1,5
10116,Maz Jobrani: I Come in Peace,,,,,[35],250626,0.6,2013-01-26,8.1,5
10117,Britney: Piece of Me,,,,,[10402],290215,0.6,2013-12-27,8.1,6
10118,Real Value,,,,,[99],596667,0.6,2013-01-01,8.0,1
10119,해양경찰 마르코,,,,,"[16, 12, 35]",596452,0.6,2013-12-31,8.0,1
10120,Garlan Hulse: Where Potential Lives,,,,,"[35, 99]",570253,0.6,2013-03-06,8.0,2
10121,Seeds of Hope,,,,,[99],554669,0.6,2012-10-13,8.0,1
10122,Don't Forget Love,,,,,[10749],548165,0.6,2013-02-05,8.0,1
10123,Feast in a Fallen City,,,,,"[16, 10752, 14]",517171,0.6,2013-06-15,8.0,1
10124,The Mrs. Carter Show World Tour,,,,,[10402],504146,0.6,2013-04-15,8.0,1
10125,Secrets of Chatsworth,,,,,[99],473526,0.6,2013-01-01,8.0,4
10126,Cinderoncé,,,,,"[14, 10402]",471072,0.6,2013-08-20,8.0,1
10127,"History of Oklahoma Football, Part 2",,,,,[],435222,0.6,2013-04-02,8.0,1
10128,In Effluence accord; Emulsion,,,,,[],424810,0.6,2013-01-01,8.0,1
10129,Retracing Home,,,,,[],424800,0.6,2013-01-01,8.0,1
10130,Reveries,,,,,[],424799,0.6,2013-01-01,8.0,1
10131,Punching,,,,,"[28, 35]",420135,0.6,2013-06-21,8.0,1
10132,Tupac - Aftermath,,,,,[99],389488,0.6,2013-10-03,8.0,1
10133,How to Abandon Ship,,,,,[16],382165,0.6,2013-05-13,8.0,1
10134,Mysteryquest Odessa,,,,,"[9648, 99]",378290,0.6,2013-01-19,8.0,1
10135,Natives,,,,,"[18, 35]",373800,0.6,2013-03-08,8.0,2
10136,Battle for the Elephants,,,,,[99],373049,0.6,2013-02-27,8.0,1
10137,It's Your Day,,,,,"[12, 10751]",371985,0.6,2013-12-10,8.0,1
10138,Avenues,,,,,[18],347954,0.6,2013-12-14,8.0,1
10139,Needle,,,,,[18],345343,0.6,2013-10-15,8.0,1
10140,Crossroads: Labor Pains of a New Worldview,,,,,[99],342714,0.6,2013-01-01,8.0,1
10141,Young Lakota,,,,,[],336757,0.6,2013-01-01,8.0,1
10142,League of Denial: The NFL’s Concussion Crisis,,,,,"[99, 36]",334763,0.6,2013-10-08,8.0,4
10143,The Last Hit,,,,,[],331767,0.6,2013-10-27,8.0,1
10144,Legends of Mid-South Wrestling,,,,,[],330312,0.6,2013-09-10,8.0,1
10145,Tell It On the Mountain,,,,,[],323733,0.6,2013-02-17,8.0,1
10146,Rope a Dope,,,,,"[35, 28]",322707,0.6,2013-10-18,8.0,1
10147,American Weightlifting,,,,,[99],320339,0.6,2013-11-01,8.0,1
10148,Istanbul Unveiled,,,,,[99],318961,0.6,2013-12-10,8.0,1
10149,Beyond All Boundaries,,,,,[99],317916,0.6,2013-01-01,8.0,3
10150,Kaddipudi,,,,,[],316696,0.6,2013-06-07,8.0,1
10151,Captivated,,,,,[99],314393,0.6,2013-01-01,8.0,1
10152,To Go Viking,,,,,[],313240,0.6,2013-01-01,8.0,1
10153,Waiting for Mamu,,,,,[],308545,0.6,2013-07-13,8.0,2
10154,Heart and Friends: Home For The Holidays,,,,,[10402],305954,0.6,2013-12-25,8.0,1
10155,Christmas on the Danube,,,,,[99],304105,0.6,2013-12-15,8.0,1
10156,Alice,,,,,[],303415,0.6,2013-10-01,8.0,1
10157,Stranded N Dangriga,,,,,"[10749, 35, 18]",302662,0.6,2013-07-13,8.0,1
10158,The Good Life,,,,,"[53, 18, 9648]",299237,0.6,2013-03-10,8.0,1
10159,Mike Case in: The Big Kiss Off,,,,,[35],294633,0.6,2013-06-15,8.0,2
10160,Aleister Crowley: Legend of the Beast,,,,,[18],293821,0.6,2013-01-01,8.0,1
10161,Jungle Master,,,,,"[12, 16]",292115,0.6,2013-12-01,8.0,1
10162,Closure,,,,,[99],284568,0.6,2013-12-01,8.0,1
10163,Foureyes,,,,,[35],283822,0.6,2013-09-13,8.0,1
10164,Deadliest Catch: The Legend Of The Time Bandit,,,,,[],283405,0.6,2013-04-16,8.0,1
10165,Delicacy,Cohen,499000.0,9200000,2012.0,"[27, 18]",277361,0.6,2013-04-20,8.0,1
10166,Who Did I Marry?,,,,,[18],273518,0.6,2013-01-01,8.0,1
10167,Glistening Thrills,,,,,[16],273093,0.6,2013-09-01,8.0,1
10168,The Vivian Maier Mystery,,,,,[],271295,0.6,2013-01-01,8.0,3
10169,Robert Williams Mr. Bitchin',,,,,[],271196,0.6,2013-01-01,8.0,1
10170,Lost Angel,,,,,"[35, 18]",254924,0.6,2013-10-01,8.0,1
10171,Polar Bears: Ice Bear,,,,,[99],252638,0.6,2013-10-01,8.0,1
10172,Mile... Mile & A Half,,,,,[99],252147,0.6,2013-06-01,8.0,8
10173,3 Champions,,,,,[99],245997,0.6,2013-11-19,8.0,1
10174,Karaoke!,,,,,[],242926,0.6,2013-04-03,8.0,1
10175,Testament: Dark Roots of Thrash,,,,,[10402],232566,0.6,2013-10-18,8.0,1
10176,This Is What They Want,,,,,[],232048,0.6,2013-10-29,8.0,1
10177,Sara Bareilles: Brave Enough Live at the Variety Playhouse,,,,,[],230317,0.6,2013-10-12,8.0,1
10178,Nile Rodgers: The Hitmaker,,,,,[99],228946,0.6,2013-03-29,8.0,1
10179,The Jungle Book: Return 2 the Jungle,,,,,"[16, 10751]",227362,0.6,2013-05-21,8.0,1
10180,Portnoy Sheehan MacAlpine Sherinian: Live in Tokyo,,,,,[10402],225887,0.6,2013-09-03,8.0,1
10181,The Rugby Player,,,,,[],225815,0.6,2013-04-27,8.0,1
10182,House in the Alley,,,,,[27],224896,0.6,2013-10-25,8.0,1
10183,Wedding Palace,,,,,"[35, 10749]",224275,0.6,2013-09-27,8.0,2
10184,The Invisible Lighthouse,,,,,[],220671,0.6,2013-01-01,8.0,1
10185,Trissákia 3,,,,,[],220291,0.6,2013-05-25,8.0,1
10186,Glickman,,,,,[],216425,0.6,2013-08-26,8.0,2
10187,Say Yes,,,,,[10749],214847,0.6,2013-08-14,8.0,1
10188,2013 NBA Champions: Miami Heat,,,,,[99],213308,0.6,2013-07-30,8.0,1
10189,Submit the Documentary: The Virtual Reality of Cyberbullying,,,,,"[99, 18, 10751]",209605,0.6,2013-03-23,8.0,1
10190,Channel 4's Comedy Gala,,,,,[],204503,0.6,2013-11-18,8.0,1
10191,Thuy Nga Paris By Night 108,,,,,[],203983,0.6,2013-03-22,8.0,1
10192,Tapia,,,,,[99],201783,0.6,2013-06-15,8.0,2
10193,So Dark,,,,,[],201728,0.6,2013-03-29,8.0,1
10194,American Revolutionary: The Evolution of Grace Lee Boggs,,,,,[99],201361,0.6,2013-06-16,8.0,2
10195,The Dark Sorcerer,,,,,[16],200716,0.6,2013-06-10,8.0,2
10196,Remote Area Medical,,,,,[99],192028,0.6,2013-04-06,8.0,1
10197,Married and Counting,,,,,"[99, 10749]",188712,0.6,2013-04-26,8.0,1
10198,Elway To Marino,,,,,[99],188509,0.6,2013-04-23,8.0,4
10199,Big Shot,,,,,[99],188473,0.6,2013-10-22,8.0,1
10200,A Deeper Shade of Blue,,,,,[99],186399,0.6,2013-04-19,8.0,1
10201,A Green Story,,,,,[18],185351,0.6,2013-05-24,8.0,2
10202,Broadway Musicals: A Jewish Legacy,,,,,[99],185326,0.6,2013-01-01,8.0,1
10203,Lord Montagu,,,,,[99],183176,0.6,2013-04-04,8.0,1
10204,The Ghosts in Our Machine,,,,,[99],181454,0.6,2013-11-08,8.0,3
10205,The Revolutionary Optimists,,,,,[],180357,0.6,2013-03-29,8.0,1
10206,The Party,,,,,[],175200,0.6,2013-03-20,8.0,1
10207,The Review Must Go On,,,,,[],173412,0.6,2013-01-22,7.8,2
10208,HENRi,,,,,"[18, 878]",171542,0.6,2013-02-26,7.8,4
10209,Secrets of Althorp: The Spencers,,,,,[99],473524,0.6,2013-01-01,7.7,3
10210,No Más,,,,,[99],229353,0.6,2013-10-15,7.7,3
10211,Free Spirits,,,,,[99],226667,0.6,2013-10-08,7.7,3
10212,Garbage: One Mile High... Live,,,,,[10402],200685,0.6,2013-05-28,7.7,3
10213,Fat Man Little Boy,,,,,[35],179752,0.6,2013-03-01,7.7,3
10214,The Machine Which Makes Everything Disappear,,,,,[99],159026,0.6,2013-08-09,7.7,3
10215,Before You Know It,,,,,[99],173188,0.6,2013-03-14,7.6,5
10216,Noah,Par.,101200000.0,261399999,2014.0,[18],215908,0.6,2013-09-09,7.6,11
10217,Portal: Survive!,,,,,"[28, 878]",279954,0.6,2013-10-08,7.5,11
10218,Arctic Fire 2013,,,,,[99],365074,0.6,2013-05-27,7.5,1
10219,We Are Animals,,,,,"[878, 18]",361592,0.6,2013-06-28,7.5,6
10220,This Is It,,,,,[],347077,0.6,2013-07-01,7.5,2
10221,The Landing,,,,,"[18, 878, 53]",311104,0.6,2013-10-26,7.5,3
10222,Star Wars: Bounty Hunter - Beyond The Game,,,,,"[28, 16, 878]",282315,0.6,2013-09-19,7.5,2
10223,East of Kensington,,,,,"[18, 14]",242351,0.6,2013-11-01,7.5,2
10224,Soundgarden: [2013] Live From The Artists Den,,,,,[],232253,0.6,2013-07-08,7.5,1
10225,My Stepbrother Is a Vampire!?!,,,,,[10751],232105,0.6,2013-10-01,7.5,1
10226,Statin Nation,,,,,[99],228931,0.6,2013-04-01,7.5,1
10227,Madagascar 3D,,,,,[99],217117,0.6,2013-08-26,7.5,2
10228,1982,,,,,[18],215918,0.6,2013-12-31,7.5,2
10229,Jane's Addiction - Live in NYC,,,,,[10402],206462,0.6,2013-06-25,7.5,1
10230,The Summer Side,,,,,"[18, 35]",196263,0.6,2013-06-25,7.5,2
10231,Alvarez vs Trout,,,,,[],191789,0.6,2013-04-20,7.5,1
10232,How Not to Make a Movie,,,,,[99],190513,0.6,2013-04-10,7.5,3
10233,American Promise,,,,,[99],158997,0.6,2013-10-18,7.5,2
10234,Tokyo Waka,,,,,"[99, 36]",100868,0.6,2013-08-28,7.5,2
10235,America's Longest War,,,,,[99],527481,0.6,2013-10-19,7.3,3
10236,Secrets of the Tower of London,,,,,[99],363999,0.6,2013-10-27,7.3,6
10237,Sriracha,,,,,[99],240268,0.6,2013-11-29,7.3,12
10238,The Sleepover,,,,,"[35, 27]",141210,0.6,2013-10-12,7.3,3
10239,108,,,,,[99],97093,0.6,2013-03-18,7.3,3
10240,Inside Pixar,,,,,[99],252700,0.6,2013-02-08,7.3,5
10241,Whispers Behind the Wall,,,,,[53],249941,0.6,2013-11-09,7.3,2
10242,Good Morning Karachi,,,,,[18],241889,0.6,2013-11-09,7.3,4
10243,Siren,,,,,"[18, 14]",195507,0.6,2013-10-26,7.3,2
10244,Not Waving but Drowning,,,,,[18],192137,0.6,2012-09-09,7.3,4
10245,Citizen Koch,,,,,[99],159000,0.6,2013-01-20,7.3,4
10246,Dream Theater: Live At Luna Park,,,,,[10402],234094,0.6,2013-11-05,7.2,7
10247,Secrets of Highclere Castle,,,,,[99],473533,0.6,2013-01-01,7.2,5
10248,Lenny Cooke,,,,,[99],174374,0.6,2013-12-06,7.2,6
10249,Stockholm Stories,,,,,[18],228445,0.6,2013-10-12,7.1,7
10250,Toy Story of Terror!,,,,,"[12, 16, 35, 10751, 14, 27, 10770]",213121,0.6,2014-08-19,7.1,413
10251,Pierce the Veil: This Is a Wasteland,,,,,[99],240980,0.6,2013-12-12,7.1,4
10252,War of the Worlds,,,,,[99],418931,0.6,2013-10-29,7.1,5
10253,Things Never Said,,,,,[18],214826,0.6,2013-09-06,7.1,5
10254,Tracks,,,,,"[12, 18]",203819,0.6,2014-09-19,7.1,273
10255,Violeta Went to Heaven,KL,21500.0,1200000,2013.0,[18],80717,0.6,2013-03-29,7.1,18
10256,Rail Pennies,,,,,"[12, 18]",553681,0.6,2013-09-19,7.0,1
10257,Where Should the Birds Fly?,,,,,[99],535835,0.6,2013-06-21,7.0,1
10258,Teach,,,,,[],519897,0.6,2013-09-06,7.0,1
10259,Kinda Like a Love Story,,,,,"[18, 10749]",501030,0.6,2013-11-16,7.0,1
10260,Leave Us Alone,,,,,"[53, 878]",488581,0.6,2013-10-11,7.0,1
10261,Mirage,,,,,"[12, 16]",466943,0.6,2013-06-11,7.0,1
10262,Basilisk,,,,,"[12, 16]",466942,0.6,2013-05-06,7.0,1
10263,American Bomber,,,,,"[18, 80]",462965,0.6,2013-05-17,7.0,1
10264,Wake-up Juice,,,,,"[28, 35]",439755,0.6,2013-02-05,7.0,1
10265,Godka cirka,,,,,"[18, 99]",428248,0.6,2013-06-13,7.0,1
10266,Aftermath,,,,,[],426295,0.6,2013-10-13,7.0,3
10267,The Apothecary,,,,,[99],419775,0.6,2013-11-03,7.0,1
10268,Bed Demon,,,,,[],417480,0.6,2013-08-20,7.0,1
10269,Zero Hour,,,,,[],410026,0.6,2013-01-01,7.0,1
10270,AB-,,,,,[],408075,0.6,2013-04-20,7.0,1
10271,Día de los muertos,,,,,"[10751, 14, 16]",406478,0.6,2013-04-14,7.0,2
10272,Tyrolean Riviera,,,,,[],393819,0.6,2013-10-20,7.0,1
10273,Nikki and the Perfect Stranger,,,,,[18],387967,0.6,2013-10-15,7.0,1
10274,Job Interview,,,,,"[18, 27]",382689,0.6,2013-03-01,7.0,1
10275,Mission to the Edge of Space,,,,,[99],373431,0.6,2013-01-01,7.0,1
10276,Emily,,,,,[18],359406,0.6,2013-06-21,7.0,1
10277,The Blade of Don Juan,,,,,"[18, 35]",355629,0.6,2013-10-27,7.0,1
10278,Our Summer Made Her Light Escape,,,,,[],352639,0.6,2013-08-04,7.0,1
10279,Turn It Back,,,,,[],346283,0.6,2013-01-01,7.0,1
10280,Some Bears,,,,,[],339294,0.6,2013-05-15,7.0,2
10281,A Dog's Life,,,,,[],336452,0.6,2013-01-01,7.0,2
10282,Weekend Away,,,,,[18],335871,0.6,2013-02-27,7.0,1
10283,Desert Dreams,,,,,"[99, 10751]",334719,0.6,2013-05-19,7.0,1
10284,Open Secret,,,,,[],334130,0.6,2013-11-03,7.0,1
10285,Bombshell,,,,,[18],325805,0.6,2013-07-13,7.0,1
10286,Densely Hollow,,,,,"[18, 16, 28]",323933,0.6,2013-09-21,7.0,1
10287,GreasePaint,,,,,[],304237,0.6,2013-01-01,7.0,1
10288,Aramizda Kalsin,,,,,[],303866,0.6,2013-01-01,7.0,1
10289,In The Name of God,,,,,[18],302695,0.6,2013-11-01,7.0,4
10290,Growing Cities,,,,,[99],298442,0.6,2013-01-22,7.0,1
10291,A Survey of Open Space,,,,,[],295580,0.6,2013-01-01,7.0,1
10292,HENDRIX ON HENDRIX,,,,,[],294523,0.6,2013-07-15,7.0,1
10293,The Naked Brand,,,,,[99],280056,0.6,2013-04-17,7.0,1
10294,The Bellman Equation,,,,,[99],278979,0.6,2013-12-17,7.0,1
10295,Wingsuit Warrior,,,,,[99],277467,0.6,2013-01-01,7.0,1
10296,JFK Assassination: The Definitive Guide,,,,,[99],274059,0.6,2013-01-01,7.0,1
10297,DSKNECTD,,,,,[99],273245,0.6,2013-10-11,7.0,2
10298,Finding Neighbors,,,,,"[18, 35]",271834,0.6,2013-10-25,7.0,2
10299,Out in the Open,,,,,[],271019,0.6,2013-01-19,7.0,1
10300,Survive,,,,,[27],270880,0.6,2013-01-01,7.0,1
10301,Clutter,,,,,[],270173,0.6,2013-06-07,7.0,2
10302,Algo Concreto,,,,,"[35, 14]",266895,0.6,2013-04-26,7.0,3
10303,"Fear, INC",,,,,[],260814,0.6,2013-12-30,7.0,1
10304,Pluto and the Vessel,,,,,[],255848,0.6,2013-05-01,7.0,1
10305,Eternal Torture,,,,,[18],253716,0.6,2013-12-07,7.0,1
10306,Live Forever as You Are Now with Alan Resnick,,,,,[],253612,0.6,2013-12-24,7.0,2
10307,The Day Kennedy Died,,,,,[99],249023,0.6,2013-11-17,7.0,2
10308,Adrift,STX,31400000.0,28500000,2018.0,[99],245927,0.6,2013-07-01,7.0,1
10309,New Zealand 3D: The Forgotten Paradise,,,,,[99],242725,0.6,2013-12-13,7.0,1
10310,Junk Head 1,,,,,"[878, 16]",242112,0.6,2013-04-01,7.0,4
10311,Prologue to the Great Desaparecido,,,,,[36],242048,0.6,2013-10-11,7.0,3
10312,Peyote,,,,,[18],238965,0.6,2013-11-26,7.0,4
10313,The Deliverance of Elaine,,,,,[],233120,0.6,2013-04-10,7.0,1
10314,It's Better to Jump,,,,,[],224334,0.6,2013-11-15,7.0,6
10315,Torn,,,,,[18],224282,0.6,2013-10-18,7.0,1
10316,Three Landscapes,,,,,[99],220049,0.6,2013-09-09,7.0,3
10317,My Name Is Hmmm...,,,,,[18],219055,0.6,2013-10-07,7.0,1
10318,Star Drunk,,,,,"[35, 878]",217601,0.6,2013-08-25,7.0,1
10319,Lakey Peterson:  Zero to 100,,,,,[],213445,0.6,2013-02-10,7.0,2
10320,Sospeso Sul Gran Canyon,,,,,[99],211828,0.6,2013-06-23,7.0,1
10321,Yellow,,,,,"[18, 27, 53]",210587,0.6,2013-01-01,7.0,1
10322,"Mallas, MA",,,,,[],209598,0.6,2013-06-15,7.0,1
10323,Ecstasy,,,,,"[18, 53]",208820,0.6,2013-06-30,7.0,1
10324,Chicken or the Egg,,,,,[],208175,0.6,2013-06-17,7.0,5
10325,I Am Breathing,,,,,[99],207413,0.6,2013-09-06,7.0,3
10326,Kathy Griffin: Calm Down Gurrl,,,,,[35],199546,0.6,2013-06-04,7.0,2
10327,Worm,,,,,[18],198368,0.6,2013-05-31,7.0,1
10328,Coming to Terms,,,,,[],192178,0.6,2013-11-24,7.0,1
10329,Gippi,,,,,"[10749, 35]",189800,0.6,2013-05-10,7.0,1
10330,Brazzaville Teen-Ager,,,,,[35],188816,0.6,2013-04-13,7.0,2
10331,DPRK: The Land Of Whispers,,,,,[99],186139,0.6,2013-03-28,7.0,2
10332,Towheads,,,,,"[35, 18, 10751]",177264,0.6,2013-03-27,7.0,2
